,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
684,7/9/14 18:45,7/9/14 18:47,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Management Occupations,Male,45-60,Did not disclose,Bachelor degree,Middle Atlantic,0,3,4,0,1.0,3.0,2.0
685,7/9/14 18:45,7/9/14 18:47,Married,16-20 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within 16-20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,South Atlantic,5,3,5,1,5.0,5.0,3.0
688,7/9/14 18:44,7/9/14 18:50,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,3,2,3,0,1.0,2.0,1.0
691,7/9/14 18:44,7/9/14 18:45,Married,11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Sales and Related Occupations,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,4,2,3,1,1.0,1.0,1.0
692,7/9/14 18:43,7/9/14 18:50,Married,1-5 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,1,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Business and Financial Operations Occupations,Female,18-29,Did not disclose,Bachelor degree,West South Central,0,1,4,1,3.0,2.0,3.0
694,7/9/14 18:43,7/9/14 18:48,Married,16-20 years,Every night,Separate bedroom,Other (please specify),0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Neither agree nor disagree,Strongly disagree,DISABLED,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,2,4,3,1,2.0,3.0,1.0
697,7/9/14 18:42,7/9/14 18:44,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic,5,2,5,0,3.0,2.0,1.0
698,7/9/14 18:42,7/9/14 18:44,Married,More than 20 years,A few times per month,Separate bedroom,Separate bedroom,0,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Support Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,4,4,5,0,3.0,4.0,1.0
699,7/9/14 18:42,7/9/14 18:44,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",Graduate degree,Middle Atlantic,5,3,5,1,3.0,3.0,3.0
700,7/9/14 18:42,7/9/14 18:44,Married,More than 20 years,Every night,Separate bedroom,On the couch/chair,1,0,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Healthcare Practitioners and Technical Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,5,3,5,0,3.0,3.0,2.0
704,7/9/14 18:42,7/9/14 18:45,Married,More than 20 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,1,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Community and Social Service Occupations,Female,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,3,4,4,1,3.0,3.0,1.0
705,7/9/14 18:41,7/9/14 18:43,In a domestic partnership or civil union,16-20 years,A few times per month,On the couch/chair,On the couch/chair,0,1,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Strongly agree,Somewhat disagree,Somewhat disagree,Personal Care and Service Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,New England,4,3,5,1,5.0,2.0,2.0
706,7/9/14 18:41,7/9/14 18:45,Married,11-15 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within 6-10 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Healthcare Support Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,4,2,5,0,1.0,4.0,1.0
707,7/9/14 18:41,7/9/14 18:43,Married,More than 20 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Food Preparation and Serving Related Occupations,Male,> 60,"$25,000 - $49,999",Bachelor degree,New England,2,4,4,0,1.0,1.0,3.0
710,7/9/14 18:41,7/9/14 18:43,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Legal Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,4,3,4,1,3.0,2.0,1.0
711,7/9/14 18:41,7/9/14 18:43,Divorced,11-15 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly disagree,Strongly disagree,Building and Grounds Cleaning and Maintenance Occupations,Male,45-60,Did not disclose,Some college or Associate degree,Pacific,0,3,3,0,4.0,1.0,1.0
712,7/9/14 18:41,7/9/14 18:43,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,1,0,0,0,0,0,0,0,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,3,4,5,0,4.0,5.0,3.0
713,7/9/14 18:41,7/9/14 18:41,Married,16-20 years,Every night,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
717,7/9/14 18:40,7/9/14 18:44,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,0,0,0,0,1,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,3,4,4,0,3.0,2.0,3.0
719,7/9/14 18:40,7/9/14 18:43,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Other (please specify),0,0,0,0,0,0,1,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,horticulture,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,2,1,3,1,1.0,3.0,1.0
723,7/9/14 18:40,7/9/14 18:40,Separated,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
725,7/9/14 18:40,7/9/14 18:41,Married,11-15 years,A few times per month,"Shared bedroom, different bed","Shared bedroom, different bed",0,0,1,0,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Healthcare Support Occupations,Female,30-44,Did not disclose,Graduate degree,South Atlantic,0,2,5,1,3.0,4.0,3.0
727,7/9/14 18:39,7/9/14 18:41,Married,More than 20 years,Every night,"Shared bedroom, different bed",Separate bedroom,1,1,0,1,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,sAFETY,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,4,3,5,0,3.0,3.0,1.0
728,7/9/14 18:39,7/9/14 18:43,Married,More than 20 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within 16-20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Business and Financial Operations Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,3,4,3,1,3.0,5.0,3.0
730,7/9/14 18:39,7/9/14 18:41,Married,More than 20 years,Every night,"Shared bedroom, but one of us sleeps on the floor","Shared bedroom, but one of us sleeps on the floor",0,0,0,0,0,0,0,0,0,0,1,Within 16-20 years of our relationship,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Mountain,0,2,3,1,1.0,3.0,3.0
731,7/9/14 18:39,7/9/14 18:41,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",High school degree,Pacific,3,3,2,1,3.0,5.0,3.0
732,7/9/14 18:39,7/9/14 18:42,Married,More than 20 years,Once a month or less,On the couch/chair,On the couch/chair,0,0,0,1,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,4,4,5,0,3.0,4.0,1.0
735,7/9/14 18:39,7/9/14 18:40,Married,16-20 years,Every night,"Shared bedroom, but one of us sleeps on the floor","Shared bedroom, but one of us sleeps on the floor",1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,2,3,4,0,1.0,1.0,1.0
739,7/9/14 18:38,7/9/14 18:40,Married,More than 20 years,Every night,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,4,4,3,0,3.0,5.0,3.0
740,7/9/14 18:38,7/9/14 18:40,Married,6-10 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,1,0,0,1,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Homemaker,Female,18-29,Did not disclose,Some college or Associate degree,Middle Atlantic,0,1,3,1,1.0,2.0,1.0
741,7/9/14 18:38,7/9/14 18:39,"Single, but cohabiting with a significant other",6-10 years,Every night,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
744,7/9/14 18:37,7/9/14 18:40,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,1,1,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Administrative Assistant,Female,30-44,"$25,000 - $49,999",High school degree,South Atlantic,2,2,2,1,3.0,4.0,1.0
745,7/9/14 18:35,7/9/14 18:39,Married,11-15 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Strongly disagree,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,3,2,3,1,3.0,5.0,1.0
748,7/9/14 18:37,7/9/14 18:37,Married,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
750,7/9/14 18:37,7/9/14 20:58,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,1,0,0,0,0,0,0,0,0,1,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,3,4,4,0,3.0,5.0,3.0
752,7/9/14 18:37,7/9/14 18:46,Married,More than 20 years,Once a year or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,1,0,0,0,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,retire,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,3.0,3.0,3.0
755,7/9/14 18:35,7/9/14 18:38,Married,6-10 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,"Life, Physical, and Social Science Occupations",Female,45-60,"$150,000+",Graduate degree,Mountain,5,3,5,1,5.0,5.0,3.0
756,7/9/14 18:36,7/9/14 18:37,Married,More than 20 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East South Central,3,3,2,1,1.0,3.0,1.0
758,7/9/14 18:36,7/9/14 18:37,In a domestic partnership or civil union,6-10 years,A few times per month,On the couch/chair,On the couch/chair,1,1,1,0,1,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central,4,3,5,1,2.0,5.0,1.0
760,7/9/14 18:35,7/9/14 18:38,Married,11-15 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,1,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Somewhat agree,Office and Administrative Support Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,3,3,3,0,5.0,5.0,4.0
762,7/9/14 18:35,7/9/14 18:37,Married,6-10 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,Male,30-44,Did not disclose,Graduate degree,Middle Atlantic,0,2,5,0,2.0,4.0,3.0
763,7/9/14 18:35,7/9/14 18:39,Married,6-10 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,1,1,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Production Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,2,2,3,0,1.0,1.0,1.0
764,7/9/14 18:35,7/9/14 18:40,Separated,16-20 years,Every night,Other (please specify),Other (please specify),0,0,0,1,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Strongly agree,Strongly disagree,Architecture and Engineering Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,1.0,5.0,1.0
769,7/9/14 18:35,7/9/14 18:37,In a domestic partnership or civil union,16-20 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Production Occupations,Female,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic,3,3,1,1,3.0,4.0,2.0
770,7/9/14 18:34,7/9/14 18:37,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Legal Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,4,2,5,1,3.0,3.0,3.0
773,7/9/14 18:35,7/9/14 18:36,Married,More than 20 years,Once a month or less,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,3.0,4.0,1.0
775,7/9/14 18:34,7/9/14 18:39,"Single, but cohabiting with a significant other",11-15 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,1,0,0,1,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,Computer and Mathematical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,3,2,4,1,4.0,4.0,3.0
